"title","description","year","brand","model","type","city","town","seats","fuel","transmission","features","driver_option","price_daily","image_urls","business_location"
"Changan Alsvin","Get a stunning Changan Alsvin on rent. Just fill the booking form and our representative will call you. NOTE: The","2020","Changan","Alsvin","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","7500","https://idealrentacar.pk/wp-content/uploads/2025/05/alsvin.jpg","Block-5A, Shop 01, Main Abul Hasan Isphani Road, Gulshan-e-Iqbal, Karachi, 75300, Pakistan"
"Daihatsu Mira","Get a stunning Daihatsu Mira on rent. Just fill the booking form and our representative will call you. NOTE: The","2020 - 2025","Daihatsu","Mira","Hatchback","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","Without_Driver","4500","https://idealrentacar.pk/wp-content/uploads/2020/11/Mira.png",""
"Haval Jolion","Get a stunning Haval Jolion on rent. Just fill the booking form and our representative will call you. NOTE: The","2020 - 2025","Haval","Jolion","SUV","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","15000","https://idealrentacar.pk/wp-content/uploads/2025/05/Haval-Jolion.jpg",""
"Honda City Aspire 1.5","Get a stunning Honda City Aspire 1.5 on rent. Just fill the booking form and our representative will call you.","2020 - 2025","Honda","City Aspire 1.5","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","7000","https://idealrentacar.pk/wp-content/uploads/2020/11/Honda-City.png",""
"Honda City New Model 2023","Get a stunning Honda City New Model 2023. Just fill the booking form and our representative will call you. NOTE:","2020 - 2025","Honda","City New Model 2023","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","7500","https://idealrentacar.pk/wp-content/uploads/2025/05/city-new.jpg",""
"Honda Civic X","Get a stunning Honda Civic X on rent. Just fill the booking form and our representative will call you. NOTE:","2020 - 2025","Honda","Civic X","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","10000","https://idealrentacar.pk/wp-content/uploads/2020/11/Civic.png",""
"KIA Sportage","Get a stunning KIA Sportage Full Option on rent. Just fill the booking form and our representative will call you.","2020 - 2025","KIA","Sportage","SUV","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","13000","https://idealrentacar.pk/wp-content/uploads/2020/11/Sportage-2019.png",""
"Suzuki Alto","Get a stunning Suzuki Alto on rent. Just fill the booking form and our representative will call you. NOTE: The","2020 - 2025","Suzuki","Alto","Hatchback","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","Without_Driver","4500","https://idealrentacar.pk/wp-content/uploads/2025/05/alto-white.jpg",""
"Toyota Corolla Altis 1.6","Get a stunning Toyota Corolla Altis 1.6 on rent. Just fill the booking form and our representative will call you.","2020 - 2025","Toyota","Corolla Altis 1.6","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","8000","https://idealrentacar.pk/wp-content/uploads/2020/11/corolla-altis-1-6-1024x682.webp",""
"Toyota Fortuner","Get a stunning Toyota Fortuner Sigma E4 Full Option 7 seater on rent. Just fill the booking form and our","2020 - 2025","Toyota","Fortuner","SUV","Karachi","Gulshan-e-Iqbal","7","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","22000","https://idealrentacar.pk/wp-content/uploads/2020/11/fortuner.png",""
"Toyota Prado","Get a stunning Toyota Prado on rent. Just fill the booking form and our representative will call you.","2020 - 2025","Toyota","Prado","SUV","Karachi","Gulshan-e-Iqbal","7","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","22000","https://idealrentacar.pk/wp-content/uploads/2018/08/Prado-2019.png",""
"Toyota Revo","Get a stunning Toyota Revo Higher Grade on rent. Just fill the booking form and our representative will call you.","2019","Toyota","Revo","SUV","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","17000","https://idealrentacar.pk/wp-content/uploads/2020/11/Rivo-2019.png",""
"Toyota Vitz","Get a stunning Toyota Vitz on rent. Just fill the booking form and our representative will call you. NOTE: The","2020 - 2025","Toyota","Vitz","Hatchback","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","Without_Driver","5500","https://idealrentacar.pk/wp-content/uploads/2020/11/Vitz.png",""
"Toyota Yaris 1.3 Active","Get a stunning Toyota Yaris on rent. Just fill the booking form and our representative will call you. NOTE: The","2020 - 2025","Toyota","Yaris 1.3 Active","Sedan","Karachi","Gulshan-e-Iqbal","5","Petrol","Automatic","Audio Input|USP Input|FM Radio|Mp3 Online","With_Driver","7500","https://idealrentacar.pk/wp-content/uploads/2020/11/Yaris.png",""
