Rawalpindi,Multan,Bahawalpur,Sheikhupura,Jhang,Gujrat,Kasur,Okara,Sahiwal,Mandi Bahauddin,Chiniot,Hafizabad,Khanewal,Vehari,Layyah,Bhakkar,Attock,Jhelum,Chakwal,Nankana Sahib,Narowal,Pakpattan,Toba Tek Singh,Lodhran,Bahawalnagar,Muzaffargarh,Dera Ghazi Khan,Rajana,Arifwala,Burewala,Kamoke,Mianwali,Khushab,Karachi,Hyderabad,Sukkur,Larkana,Nawabshah,Mirpurkhas,Jacobabad,Shikarpur,Khairpur,Dadu,Thatta,Badin,Tando Adam,Tando Allahyar,Umerkot,Ghotki,Kashmore,Jamshoro,Matiari,Sanghar,Naushahro Feroze,Peshawar,Mardan,Abbottabad,Swat (Mingora),Mansehra,Haripur,Charsadda,Nowshera,Kohat,Bannu,Dera Ismail Khan,Swabi,Timergara,Batkhela,Dir,Hangu,Karak,Lakki Marwat,Tank,Quetta,Gwadar,Turbat,Khuzdar,Hub,Chaman,Zhob,Sibi,Loralai,Dera Murad Jamali,Usta Muhammad,Panjgur,Awaran,Kalat,Nushki,Muzaffarabad,Mirpur,Kotli,Bhimber,Rawalakot,Bagh,Hattian Bala,Gilgit,Skardu,Hunza,Ghizer,Diamer,Ghanche,Astore
Taxila,Sher Shah Road,Circular Road,Ferozewala,Chiniot Road,Lalamusa,Model Town,Satellite Town,High Street,GT Road,Bhawana City,GT Road,Railway Colony,Chowk Maitla,Jhang Road,Jhang Road,GT Road,Lilla,Bhagwal,Railway Road,Baddo Malhi,Bazar Bagh Langah,Rajana,Adda Machka,Railway Road,Chowk Sarwar Shaheed,Chowk Qureshi,Mohalla Bazar,Mohalla Sheikh Colony,Mohalla Mughalabad,Mohalla Kot Pindi,Sargodha Road,Mianwali Road,Orangi Town,Tando Yousuf,Labour Colony,Dokri,Jam Sahib,Shadi Large,Hospital Road,Sukkur Road,Nara,Indus Highway,Dhabeji,Tando Muhammad Khan Road,Tando Ghulam Hyder Road,Station Area,Hospital Road,Adilpur,Lal Bagh,SITE Area,Old Hala,City Area,Railway Station,Board,Swabi Road,Kunj,Green Chowk,Jabori,Taxila Road,Umarzai,Khairabad,Gumbat,Ghoriwala,Kulachi,Civil Lines,City Area,Dheri Julagram,Patrak,City Area,Sabirabad,Main Bazaar,Kot Azam,Killi Qambrani,Fish Harbor,Balochabad,Hospital Road,Karachi Road,Dobandi,Quetta Road,Hospital Road,Fort Munro Road,Railway Station,Railway Station,Quetta Road,Turbat Road,Khuzdar Road,Yakmach,Kundal Shahi,City Area,Main Bazaar,GT Road,Mall Road,Muzaffarabad Road,Jhelum Valley Road,Airport Road,Baltistan Road,KKH,KKH Road,Harban,Askole,Tarishing
Kallar Syedan,Chungi No. 9,University Chowk,Safdarabad,Faisalabad Road,Kotla Arab Ali Khan,Talwandi,Railway Colony,Jail Road,Gujrat Road,Mohallah Darwesh,Gujranwala Road,Kutchery Road,Adda Bodla,Old City,Kundian Road,Islamabad Road,Mangla,Sarkal,Sheikhupura Road,Alipur Chatha,Bazar Sheikh Farid,Shorkot Cantt,Chowk Qureshi,Qila Derawar,Basti Malook,Chowk Abadi,Mohalla Islamabad,Mohalla Ahmad Nagar,Mohalla Qasimabad,Mohalla Shah Alam,Kundian,Jhelum Road,Baldia Town,Tando Jam,Jinnah Colony,Ratodero,Mehrabpur,Kunri,Shikarpur Road,Jacobabad Road,Mehran,KN Shah,Hyderabad Road,Badin City,Model Colony,Taluka Hospital Area,City Area,Kacha Area,Guddu Barrage Area,Petaro,Chak,Railway Station,Hospital Road,Pajagi,Peshawar Road,Malik Pura,Malakand Road,Sherwan,Panian,Khazana,Jehangira,Tira,Muhammad Khel,Parowa,Shewa,Chakdara,Swari,Kalkot,Cantt Area,Gurguri,Hospital Road,Mulazai,Pashtunabad,Free Zone Area,Turbat City,Quetta Road,Quetta Road,Chaman City,DI Khan Road,Cantt Area,Zhob Road,Cantt Area,Agricultural Area,Rakhshan Valley,Old Town,Mastung Road,Sarawan,Rangla,Allama Iqbal Road,Hospital Road,Gujrat Road,Poonch Valley,Rawalakot Road,Chikar,KKH,Shigar Road,Gojal,Shandur,Chilasian,Braldu Valley,Domail
Kahuta,Model Town,Jamia Masjid Road,Shahkot,Gojra Road,Mandi Bahauddin Road,Mustafabad,Cantt Area,Railway Road,Railway Road,Bazar Nawabpura,Faisalabad Road,Pull Rango,Adda Gaga,Kot Sultan,Piplan,Main Bazaar,Model Town,Pindi Road,Mandi Town,Ahmad Nagar,Galla Mandi,Bazar Darbar,Chowk Azam,Adda Bodla Road,Chowk Qureshi,Moza Kot Mithan,Chak No. 201/RB,Chak No. 298/EB,Chak No. 27/WB,Jandiala Road,Chashma,Shaheenabad,Keamari,Bhitai Nagar,Saeedabad,Naudero,Sanghar Road,Pithoro,Quetta Road,Lakhi Road,Sukkur Road,Wahi Pandi,National Highway,Pangrio,Jubilee Colony,Chamber Road,Hindoo Para,New Ghotki,Qadirpur,Bhan Saeedabad,Jhangara,Hospital Road,Taluka Office Area,Abdara Road,Nowshera Road,Nawan Shehr,Marghazar,Dhodial,Havelian Road,Sardheri,Taru Jabba,Muhammad Khel,Haved Khel,Paharpur,Yar Hussain,Samarbagh,Chamla,Sharingal,Hospital Road,Terri,Cantt Area,Gara Baloch,Hazarganji,CPEC Area,Kech Valley,Karachi Road,Lakhra,Old Town,Mekhtar,Nushki Road,Cantt Area,Sohbatpur,Old Town,Chitkan,New Town,Old Fort Area,Mashkhel,Chella Bandi,New Mirpur City,Poonch Road,Working Boundary Area,Old Town,Old Town,Old Town,Kashrote,Khaplu Road,Nagar Valley,Gupis,Fairy Meadows Road,Kondus Valley,Gilgit Road
Murree,Suraj Miani,Muhajir Colony,Kot Abdul Malik,Trimmu,Nizamabad Colony,Bhai Pheru,Faisalabad Road,University Road,Model Town,Railway Road,Railway Road,Sardar Garhi,Adda Baloch Wala,Lala Zar,Duleywala,Model Town,Satellite Town,Mianwali Road,Civil Lines,Kot Noor Muhammad,Qasba Gujrat,Mohalla Muhammadabad,Basti Malook,Dahranwala,Basti Dosa,Kot Chutta,Chak No. 233/RB,Chak No. 352/EB,Chak No. 86/WB,Chak No. 27/DNB,Musa Khel,Dandot,Bin Qasim,Unit No. 1-12,Pano Aqil,Kambar,Hyderabad Road,Hussain Bux Mari Road,City Area,Rustam,Hyderabad Road,Drigh Bala,Makli Road,Kadhan,Agri Colony,Bulri Road,Naukot,Old Ghotki,Paharpur,University of Sindh Campus,Railway Station,Jinnah Road,Padidan Road,Ring Road,Hoti,Mirpur,Fizagat,Battal,Rehana,Mandani,Hakimabad,Shakardara,Kakki,Ratta Kulachi,Razar,Asbanr,Ziara,Barawal,Main Bazaar,Khurram,Darra Pezu,Shaheed Abad,Chiltan,Sangar Housing,Shapuk,Kalat Road,Sonmiani,New Town,Murgha Kibzai,Mach,Old Town,Miro Khan,New Town,Old Town,Nall Road,New Town,Girdi Jungle,Dhani Bombian,Old Mirpur City,Mirpur Road,Kalair,New Town,New Town,New Town,Faizabad,Old Town,Hopar,Teru,Nanga Parbat Base,Main Bazaar,Deosai Road
Islamabad Highway,Qutabpur,Baghdad-ul-Jadeed,Khanqah Dogran,Malka Hans,Rahwali Cantt,Habibabad,Sahiwal Road,Multan Road,Satellite Town,Main Chowk,Jajja Abadi,Sardarpur,Garha Mor,Haji Abad,Hyder Abad,Barotha,Sarai Alamgir,Jhelum Road,Gurdwara Janam Asthan,Darman,Malka Hans,Gojra City,Mian Di Hatti,Qaim Pur,Moza Kot Sultan,Vehova,Aminpur,Adda Thikriwala,Gaggo Mandi,Daska Road,Mari Indus,Kanhati Garden,Gulistan-e-Jauhar,Gulistan-e-Sarmast,Rohri,Mehar,Padidan,Satellite Town,Aqil Shah Colony,Khair Muhammad Jalbani,Railway Station,Bhan Saeedabad,Keenjhar Lake Area,Tando Ghulam Hyder,Sanghar Road,Agricultural Colony,Daharki Road,Begum Colony,Ranipur,Gulistan Colony,Hospital Road,Medical Colony,Agricultural Area,Karkhano Market,Lundkhwar,Dhamtour,Shamozo Sar,Chattar Kalas,Darwesh,Daudzai,Cherat,Jangal Khel,Janikhel,Old City,Dagai,Munda,Tangi Bazaar,Hospital Area,Zargari,Shakardara,Shahbaz Khel,Dera Ismail Khan Road,Western Bypass,Makran Coastal Highway,Gokprosh,Moola,Hub Dam Area,Gulistan,Sambaza,Khost,New Town,Kachhi,Mithri,New Town,Hub Road,Cantt Area,Railway Station,Kohala,Pind Hashim Khan,Holar,Dhirkot,Palandri Road,Chambi,Noori,Barmas,New Town,Minapin,Pingal,Old Chilas,Old Town,Main Valley
Dhoke Khabba,Masoom Shah,Railway Road,Bucheki,Kot Isa Shah,Karian Cantt,Manga Mandi,GT Road,Harappa,Hiran Minar,Circular Road,Shah Bagh Colony,Shamkot,Khairpur Tamewali,Chak Kalu,Kot Chutta,Gondal,Mandi Bahauddin Road,Model Town,Chak Ruldu,Kalaswala,Chak No. 37/EB,Kamalia City,Chak No. 444/EB,Chak No. 89/BC,Mehmood Kot,Sakhi Sarwar,,,,,Kalor,Mitha Tiwana,Scheme 33,Pinyari,New Pind,Garhi Khuda Bakhsh,Shahdadpur Road,Mir Ali Nawaz Colony,Jinnah Colony,Abad,Jinnah Road,Phulji,Gharo,Kario Ghanwar,,,Khipro Road,Mohalla Brahman,Railway Station Area,Civil Lines,Hingorja,Agricultural Colony,Daur Road,Qissa Khwani,Manga,Muslim Town,Sangota,Ghazikot,Sirban,Tarnab,Nizampur,Darra Adam Khel,Baka Khel,City Area,Ambar,Barawal,Civil Lines,Old Town,Usterzai,Serai Naurang,Naurang,Old Town,Sariab Road,Naval Base Area,Zamran,Aranji,SITE Area,Muhammad Khel,Khar Khwara,Ziarat Road,Kingri,Pat Feeder,Dhadar Road,Gresha,Bela Road,Mir Chakkar,Old Town,Jhelum Valley Road,Sector F,Khuiratta,Old Town,Mendhar Road,Goi,Minimarg,Serena Road,Parkuta,Hussaini,Phunder Lake Area,New Chilas,New Town,Upper Astore
Tench Bhatta,Shershah Colony,Cantt Area,Warburton,Khewat,Haji Pura,Ferozpur Road,Military Farms,Adda Gogera,Shah Jewna,Mochiwala,Ahmad Nagar,Thatta Sadiqabad,Dunyapur,Wasti Janoobi,Basti Lal,Makhad,Rohtas Road,Satellite Town,Chak 25/NP,Kotli Loharan,Chak No. 72/EB,Chak 386/GB,Chak No. 108/ML,Chak No. 107/10-R,Chowk Munda,Fazilpur,,,,,Gulan Khel,Nurpur,Gulberg,Hyder Chowk,Lakhi,Arija,Benazirabad,Memon Colony,Muslim Colony,Mian Sahib Colony,Secretariat Road,Darya Khan Mari,Shah Jahan Mosque Area,Old Town,,,Old Town,Dharampur,City Area,Kotri Barrage,Taluka Area,Talhar Road,Jinnah Colony,Namak Mandi,Shergarh,Jinnahabad,Barikot,Ichrian,Hattar Industrial Estate,Nisatta,Kabul River Road,Lachi,Old City,Industrial Area,Thandkoi,Rabat,Hospital Road,Upper Dir,Baggan,Ismail Khel,Ghazni Khel,New Town,Spini Road,Airport Area,Old Town,Nal,Cantt Area,Taj Road,Drug,Old Town,Drug,Old Town,Bolan Pass Road,Bonistan,Gidar,Gumbaz,New Town,River View,Sector E,Dongi,New Town,Forward Kahuta,Mallot,Patika,Old Town,Saling,Ghulkin,Old Town,Main Bazaar,Skardu Road,Lower Astore
Adiala Road,Bahawalpur Road,Derbar Mahal,Pindi Bhattian,Ghulam Muhammad Abad,Main Bazaar,GT Road,Chuchak,Khan Pur,Kot Asadullah,Ahmad Pur Sial Road,Rasool Nagar,Tulamba,Jalalpur Pirwala,Ahmad Pur Sial,Chak 73/TDA,Shinka,Chakwal Road,Kalar Kahar Road,Chak 28/NP,Chak Amru,Kalaswala,Chak 301/GB,Tibba Sultan Pur,Donga Bonga,Sitpur,Ahmad Pur Lamma,,,,,Naushehra Virkan,Bhaun,Shah Faisal Colony,Risala Road,Saleh Pat,Shahdadkot,Medical Colony,Thari Mirwah,Shah Belo Colony,Pir Jo Goth,Medical Road,Ali Goharabad,Badin Road,New Town,,,New Town,Khan Muhammad Colony,Hospital Road,Industrial Area,Jamia Masjid Area,Old Town,Model Colony,Chowk Yadgar,Chamkani,Cantt Area,Odigram,Talhata,Shahpur,Farooq Azam,Old City,Old City,Haveli Umra Khan,Draban,Gadoon Amazai,Adenzai,Peshawar Road,Lower Dir,Mohammad Khel,Bahadar Khel,Serai Gambila,Cantt Area,Kuchlak,GDA,New Town,Khuzdar City,Zero Point,Hotel Road,Old Town,New Town,Kohlu Road,New Town,Cantt Area,Washbood,Kolwah,Ziarat Road,Cantt Area,Model Town,Industrial Area,Old Town,Mangla Dam Area,Thorar,Leepa Valley,Reshian,Shahrah-e-Quaid-e-Azam,Mehdi Abad,Shishkat,New Town,Civil Lines,Masherbrum Base,Old Town
Rawal Road,MDA Chowk,Noor Mahal Area,Mangtanwala,Kot Samaba,Railway Road,Khas Bazaar,Mandi Ahmadabad,Arain Colony,Wasu,Badiana,Dholan Wala,Chak 88/10-R,Chak 107/WB,Sardar Pur,Chak 42/TDA,Waisa,Jalalpur Sharif,Danda Shah Bilawal,Ravi Road,Pasrur Road,Ahmad Pur Sial,Chak 255/GB,Sito Gunno,Chor,Layyah Road,Choti Zareen,,,,,Rokhri,Jauharabad Road,FB Area,Jamshoro Road,Pir Jo Goth,Qambar Shahdadkot,Industrial Area,Mirwah Gorchani,Garhi Yasin,New Faujdari,Ranipur,Manjhand,Mirpur Bathoro,Railway Road,,,Viran Wah,Sangi,Indus Highway,Old Kotri,Shah Abdul Latif Road,New Town,Old Town,Old City,Jalala,Medical Colony,Buner Road,Paras,Pind Hashim Khan,Dhaki,New City,City Area,Hospital Road,Hospital Road,Bamkhel,Khal,Industrial Area,Khall,Ghiljo,Zambar,Khirgi,Kirri Manda,Double Road,East Bay,University Road,Baghbana,New Hub,Main Bazaar,New Town,Baghao,Bori,Agricultural Area,Kambar Road,Nag,Ornach Road,Mungachar,Nokundi Road,Shajehan Valley,Model Town,New Town,Kalary,Tetrinote,Neelum Road,Kel,Jinnah Road,Gamba,Central Hunza,Valley Road,Hospital Road,Chogolungma,New Town
Pirwadhai,Chowk Kumharanwala,Multan Road,Bhikhi,Ahmad Nagar,Gondal Road,Raja Jang,Dipalpur Road,Amin Town,Kuthiala Sheikhan,Kachi Kotli,Kot Sultan,Makhdoom Rasheed,Chak 33/WB,Chowk Sarwar Shaheed,Dunga Bunga,Dhurnal,Puran,Tamman,Sadhoke,Charwa,Chak Kamal,Balochni,Khudian,Marot,Jhang Road,Kala Bagh,,,,,Darra Tang,Naushera Road,Nazimabad,Kohsar,Garhi Tegho,Akil,Chand Colony,Umarkot Road,Miro Khan,Chakar Khan,Theri,Fareedabad,Chuhar Jamali,Station Road,,,Dhoro Naro,Rojhan Jamali,Katcha Area,New Kotri,Cotton Market,Berani,Cotton Market,Tehkal,Gujar Ghari,Ayub Medical Complex Area,Hospital Road,City Area,Karakuwa,Rajar,Cantt Area,Industrial Area,Railway Road,Police Line Road,Jhanda,Lal Qila,New Town,Akhogram,Shahu Khel,Amberi,Torawari,Tiarza,Civil Lines,West Bay,Hospital Road,Surab Road,Old Hub,Border Area,Cantt Area,Sangan Kach,Makhter,Bolan Road,Sukkar Road,Shorawd,Mining Area,Sra Khola,Koh-i-Sultan,Mill Market,Satellite Town,Tatta Pani,Banth,Nomanpura,Kohala Road,Sharda,Bank Road,Kharmang Road,Upper Hunza,Gilgit Road,Gilgit Road,Basha,KKH Junction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liaquatabad,,,,,,,,,,,,,,,,,,,,,Dalazak Road,,,,,,,,,,,,,,,,,,,Model Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Karachi,,,,,,,,,,,,,,,,,,,,,Kohat Road,,,,,,,,,,,,,,,,,,,Nawa Killi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Karachi,,,,,,,,,,,,,,,,,,,,,Khyber Road,,,,,,,,,,,,,,,,,,,Baleli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surjani Town,,,,,,,,,,,,,,,,,,,,,Shami Road,,,,,,,,,,,,,,,,,,,Quetta City,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahria Town,,,,,,,,,,,,,,,,,,,,,University Campus,,,,,,,,,,,,,,,,,,,Pishin Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiser Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PECHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahadurabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tariq Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II Chundrigar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kharadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jodia Bazaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burns Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kemari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maripur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawksbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gadap Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamsheed Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahmoodabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshed Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
