"title","description","year","mileage","brand","model","type","city","town","seats","fuel","transmission","color","features","driver_option","price_with_driver","price_self_drive","price_daily","price_monthly","price_within_city","price_out_of_city","image_urls","plate_number","business_location"
"APV","If you are looking for APV for Rent in Islamabad then you are at right place. Moon car rental deals","","","Suzuki","APV","Van","Rawalpindi","Saddar","7","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","","","","","https://therentacar.pk/wp-content/uploads/2021/08/Suzuki-APV-front-view-removebg-preview.png","","Al Amin Plaza, Ground Floor,, Mall Rd, Saddar, Rawalpindi, 46000, Pakistan"
"Coaster","If you are looking for hassle-free Coaster for rent in Islamabad then you are at right place. Moon car rental","","","Toyota","Coaster","Bus","Rawalpindi","Saddar","22","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","12000","","","","https://therentacar.pk/wp-content/uploads/2021/08/35bd465129e7649fe3cf7ae8b18c1647.png","",""
"Honda BRV","If you are looking for Honda BRV for rent in Islamabad then you are at right place. Moon car rental","","","Honda","BRV","SUV","Rawalpindi","Saddar","7","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","6500","","","","https://therentacar.pk/wp-content/uploads/2021/08/02_Honda-BRV.jpg","",""
"Honda City","If you are looking for Honda City for rent in Islamabad then you are at right place. Moon car rental","","","Honda","City","Sedan","Rawalpindi","Saddar","4","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","","","","","https://therentacar.pk/wp-content/uploads/2021/08/2020-honda-city-exterior-27.jpg","",""
"Honda Civic","If you are looking for Honda Civic for rent in Islamabad then you are at right place. Moon car rental","","","Honda","Civic","Sedan","Rawalpindi","Saddar","4","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","8000","","","","https://therentacar.pk/wp-content/uploads/2021/08/Honda-civic-for-rent-in-Islamabad_2.jpg","",""
"Land Cruiser V8","If you are looking for Land Cruiser V8 for rent in Islamabad then you are at right place. Moon car","","","Toyota","Land Cruiser V8","SUV","Rawalpindi","Saddar","7","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","27000","","","","https://therentacar.pk/wp-content/uploads/2021/08/Landcruiser-2017.jpg","",""
"Prado","Islamabad, the ‘Capital of Pakistan’, is bustling with activity throughout the day. It is home to working professionals who come","","","Toyota","Prado","SUV","Rawalpindi","Saddar","7","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","17000","","","","https://therentacar.pk/wp-content/uploads/2021/08/toyota-prado-tx-3-0d-2013-50047963.jpg","",""
"Revo","If you are looking for hassle-free revo for rent in Islamabad then you are at right place. Moon car rental","","","Toyota","Revo","SUV","Rawalpindi","Saddar","5","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","9500","","","","https://therentacar.pk/wp-content/uploads/2021/08/revo-new.webp","",""
"Toyota Altis","If you are looking for Toyota Altis For Rent In Islamabad then you are at right place. Moon car rental","","","Toyota","Altis","Sedan","Rawalpindi","Saddar","4","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","","","","","https://therentacar.pk/wp-content/uploads/2021/08/wp1882738.jpg","",""
"Toyota Corolla GLI","If you are looking for Toyata Coralla GLI for rent in Islamabad then you are at right place. Moon car","","","Toyota","Corolla GLI","Sedan","Rawalpindi","Saddar","4","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","5000","","","","https://therentacar.pk/wp-content/uploads/2021/08/Toyota-Corolla-GLI-Rent-In-Islamabad.jpg","",""
"Toyota Grand Cabin","If you are looking for Grand Cabin for rent in Islamabad then you are at right place. Moon car rental","","","Toyota","Grand Cabin","Van","Rawalpindi","Saddar","13","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","8500","","","","https://therentacar.pk/wp-content/uploads/2021/08/gc.jpg","",""
"Toyota Grande","If you are looking Toyota Grande Rent In Islamabad then you are at right place. Moon car rental deals in","","","Toyota","Grande","Sedan","Rawalpindi","Saddar","4","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","","","","","https://therentacar.pk/wp-content/uploads/2021/08/toyota-corolla-grande-picture.jpg","",""
"Vigo","If you are looking for Vigo Rent In Islamabad then you are at right place. Moon car rental deals in","","","Toyota","Vigo","SUV","Rawalpindi","Saddar","5","Without Fuel","","","AC|Music System|Bluetooth|Comfortable Seats","With_Driver","","","7500","","","","https://therentacar.pk/wp-content/uploads/2021/08/vigo-731x228-1.jpg","",""
